order,indices,coefficient
1,998,5.58453981129888E-5
1,935,-5.4256997124844014E-5
1,854,5.4171920623060967E-5
1,626,-5.373583300111463E-5
1,887,-5.3627701155567424E-5
1,952,-5.3553277061405306E-5
1,581,-5.329921822624892E-5
1,114,5.312512550576236E-5
1,372,5.309959506755653E-5
1,344,5.30445126483422E-5
1,850,5.242906967891196E-5
1,751,5.229954358730121E-5
1,212,-5.2254211132471096E-5
1,196,5.2177599923326266E-5
1,570,5.202654769496676E-5
1,230,5.177438750896846E-5
1,870,-5.1425370942705605E-5
1,420,5.127685065390469E-5
1,779,-5.0982555383036395E-5
1,169,-5.09484670258053E-5
1,124,5.064802515799935E-5
1,398,5.059548518222935E-5
1,550,5.011505594101104E-5
1,245,-5.003784510840012E-5
1,804,-4.983559144424676E-5
1,986,-4.9736854542089786E-5
1,758,-4.938902531499491E-5
1,228,4.9171564161497955E-5
1,597,4.848830802909102E-5
1,695,4.816124496577963E-5
1,91,4.793225178119632E-5
1,261,4.7726484946174434E-5
1,292,4.764767129081532E-5
1,36,-4.7534244690777706E-5
1,132,-4.742124759017882E-5
1,557,-4.727181405088586E-5
1,768,4.707992871895304E-5
1,782,4.693410631472936E-5
1,530,4.648432186408382E-5
1,731,-4.635982583384342E-5
1,389,-4.631501381007366E-5
1,231,-4.6181888809661453E-5
1,424,4.60325527824389E-5
1,799,4.600536134028953E-5
1,802,4.576893870319021E-5
1,661,-4.5558196057148265E-5
1,432,4.511492540484584E-5
1,905,4.509846646048657E-5
1,867,-4.493427380108439E-5
1,538,-4.49016529391726E-5
1,62,4.444742856345094E-5
1,955,-4.435696931152175E-5
1,368,4.410222346660377E-5
1,435,4.363919865251731E-5
1,662,-4.345252964649092E-5
1,131,-4.339782795171734E-5
1,312,-4.314554885646477E-5
1,958,-4.302269830873044E-5
1,552,4.290294287686704E-5
1,510,-4.279113989934186E-5
1,529,-4.2533793298372645E-5
1,776,-4.229289768019439E-5
1,962,4.225708106676324E-5
1,307,-4.186168901995521E-5
1,563,4.1538546975461405E-5
1,254,4.069784569665499E-5
1,872,-4.0687216653362085E-5
1,534,-3.986413900033413E-5
1,346,-3.947409592234719E-5
1,4,3.9444563673164524E-5
1,652,3.926822441013184E-5
1,130,3.9191044780945206E-5
1,826,3.909752373160605E-5
1,8,3.8972802410976835E-5
1,674,-3.883560875276832E-5
1,503,-3.8757264716296716E-5
1,645,-3.84560642596902E-5
1,45,3.823652795958812E-5
1,255,3.821966688922472E-5
1,660,-3.81985594730525E-5
1,840,-3.8109905327785216E-5
1,521,3.7987220797428295E-5
1,98,-3.773480394956966E-5
1,586,-3.761169029627451E-5
1,877,-3.72480205370538E-5
1,829,-3.722378157038307E-5
1,919,3.6894473540319535E-5
1,933,-3.665860529962976E-5
1,160,-3.661484443677064E-5
1,980,-3.650561753135444E-5
1,144,-3.6362677153941496E-5
1,947,3.6348494181721937E-5
1,399,-3.627198409061057E-5
1,866,-3.606033752203809E-5
1,268,3.570034059261826E-5
1,175,3.54260370465017E-5
1,685,3.4634598346475896E-5
1,106,3.441312622789841E-5
1,833,3.4404751222539305E-5
1,274,-3.437572476968104E-5
1,972,3.427810065585686E-5
1,763,-3.400098450558298E-5
1,216,-3.3645367325213724E-5
1,110,3.3535544946574265E-5
