order,indices,coefficient
1,555,7.682111864513557E-5
1,628,-7.661415372209749E-5
1,275,-7.650475220415364E-5
1,32,-7.619243955278655E-5
1,859,-7.618373094966214E-5
1,957,-7.605479612741859E-5
1,882,-7.602761063879987E-5
1,989,7.578751710748659E-5
1,452,-7.499201942770669E-5
1,707,-7.491289785821156E-5
1,218,7.48237109222594E-5
1,599,7.461601671351121E-5
1,610,7.459322999755744E-5
1,402,7.380446732766524E-5
1,817,7.379342962684449E-5
1,397,7.372393738338096E-5
1,639,7.364924112670976E-5
1,584,-7.340480797191584E-5
1,730,-7.297802495069069E-5
1,480,-7.236217312408367E-5
1,701,7.225989604745471E-5
1,390,-7.220473664703042E-5
1,130,-7.178787405593979E-5
1,652,-7.149213765850291E-5
1,311,7.13663536265569E-5
1,525,-7.115031906855254E-5
1,447,-7.108718963919639E-5
1,566,-7.108533457643984E-5
1,768,-7.094128289534083E-5
1,486,-7.082634246688271E-5
1,780,7.062162652581579E-5
1,548,7.054719972853188E-5
1,82,-6.95912895011859E-5
1,587,6.959058429133467E-5
1,651,6.944303431431026E-5
1,495,-6.936561217466325E-5
1,500,-6.919261799705145E-5
1,947,-6.901940755751684E-5
1,45,-6.81727778349313E-5
1,449,-6.808187211597025E-5
1,903,-6.807389565937056E-5
1,57,-6.791605466234508E-5
1,6,6.776174104213506E-5
1,873,-6.756061006192427E-5
1,93,-6.68492554953536E-5
1,950,-6.677734840386587E-5
1,254,6.662867216037506E-5
1,27,-6.652922792269393E-5
1,46,-6.631448779541398E-5
1,784,6.609021120036197E-5
1,776,6.590626722139933E-5
1,105,6.583923159500952E-5
1,157,6.548447641250601E-5
1,289,6.535038569116664E-5
1,288,6.503947132278168E-5
1,746,6.502036641036147E-5
1,497,6.429690371087828E-5
1,425,6.428292183886759E-5
1,823,6.407289869939167E-5
1,742,-6.399901712772186E-5
1,256,6.392715669088128E-5
1,851,6.389183771029244E-5
1,579,-6.381332655332447E-5
1,239,-6.378669314914498E-5
1,391,-6.368342708580839E-5
1,164,6.365844276051619E-5
1,438,6.358154797305796E-5
1,729,-6.355438072335906E-5
1,502,-6.28971347957557E-5
1,678,-6.284394929104888E-5
1,636,-6.152491607677152E-5
1,37,6.149769397219923E-5
1,199,-6.14496813102578E-5
1,429,6.123534314842769E-5
1,598,-6.109472167709542E-5
1,990,-6.105286258536823E-5
1,511,6.094809324854586E-5
1,442,-6.06865449292757E-5
1,846,-6.005084513688171E-5
1,594,-6.0023536539051704E-5
1,631,-5.983556600972681E-5
1,214,5.976082753996838E-5
1,366,5.9616247286070296E-5
1,668,-5.932442411251208E-5
1,492,-5.931120383738781E-5
1,233,5.91024166264064E-5
1,537,5.9087053540654825E-5
1,609,5.9041745615822217E-5
1,910,-5.8654068758136233E-5
1,853,-5.8257404141137115E-5
1,9,-5.810351927549061E-5
1,382,5.782841613317034E-5
1,422,5.7822569347218876E-5
1,932,5.763471060897923E-5
1,140,5.736782472836406E-5
1,894,5.644938418118571E-5
1,354,5.640275069249691E-5
1,412,-5.611923064137309E-5
1,11,-5.60663581999106E-5
1,762,5.5138535678048136E-5
1,331,-5.5049551227310116E-5
1,835,-5.502536945615454E-5
1,176,-5.496969183897522E-5
1,64,5.4951326386721886E-5
1,959,-5.478285250058175E-5
1,22,5.471501445069908E-5
1,50,5.44182698190216E-5
1,196,-5.423035021777408E-5
1,324,-5.399415963652881E-5
1,543,5.379442703299049E-5
1,796,-5.348458844090204E-5
1,120,-5.315245633246764E-5
1,368,5.28568168392901E-5
1,812,-5.2643323053021234E-5
1,219,5.2587862278406754E-5
1,328,-5.257481329976751E-5
1,912,5.229928711765064E-5
1,189,5.203278053918735E-5
1,921,5.1873970921368555E-5
1,67,5.185778754076238E-5
1,954,5.167877596375059E-5
1,503,-5.1512289590781684E-5
1,969,-5.147548813684249E-5
1,217,-5.120866773274178E-5
1,295,-5.10784878193066E-5
1,396,-5.072164450107651E-5
1,942,5.0221552180671954E-5
1,541,-5.02170636875928E-5
1,108,5.015164584499504E-5
1,620,5.0022524541915935E-5
1,646,4.9776026792876666E-5
1,948,4.9745732283498405E-5
1,117,4.9454311989668764E-5
1,988,-4.929197025243882E-5
1,150,-4.922599044788592E-5
1,518,-4.8980501693360184E-5
1,744,-4.8932736786562416E-5
1,863,-4.8319702265907E-5
